id,persona,request,attributes.input.value,attributes.metadata.case_id,attributes.metadata.persona,attributes.metadata.notes,expected_intent,expected_tables,expected_approval,expected_customer_scope,expected_output_json
A,Emily Chen,Disney is threatening to escalate. Prepare me for tomorrow’s executive review.,Disney is threatening to escalate. Prepare me for tomorrow’s executive review.,A,Emily Chen,Canonical executive briefing,customer_escalation,customer_accounts|support_tickets|jira_bugs|product_telemetry|campaign_performance,not_required,authorized,"{""expected_approval"": ""not_required"", ""expected_customer_scope"": ""authorized"", ""expected_intent"": ""customer_escalation"", ""expected_tables"": [""customer_accounts"", ""support_tickets"", ""jira_bugs"", ""product_telemetry"", ""campaign_performance""]}"
B,Olivia Martinez,Disney’s Black Friday campaign is delayed and audiences are not activating. Help me understand what happened.,Disney’s Black Friday campaign is delayed and audiences are not activating. Help me understand what happened.,B,Olivia Martinez,Canonical marketing investigation,marketing_investigation,audience_segments|audience_exports|journey_executions|campaign_performance|product_telemetry,not_required,authorized,"{""expected_approval"": ""not_required"", ""expected_customer_scope"": ""authorized"", ""expected_intent"": ""marketing_investigation"", ""expected_tables"": [""audience_segments"", ""audience_exports"", ""journey_executions"", ""campaign_performance"", ""product_telemetry""]}"
C,Alex Rivera,Disney says audience exports are delayed. Help me understand why.,Disney says audience exports are delayed. Help me understand why.,C,Alex Rivera,Canonical root cause investigation,technical_investigation,incidents|product_telemetry|support_tickets|jira_bugs,not_required,authorized,"{""expected_approval"": ""not_required"", ""expected_customer_scope"": ""authorized"", ""expected_intent"": ""technical_investigation"", ""expected_tables"": [""incidents"", ""product_telemetry"", ""support_tickets"", ""jira_bugs""]}"
D,Alex Rivera,I need to investigate Disney export failures.,I need to investigate Disney export failures.,D,Alex Rivera,Canonical guided access request,access_request,customer_export_logs|audience_exports,pending,authorized,"{""expected_approval"": ""pending"", ""expected_customer_scope"": ""authorized"", ""expected_intent"": ""access_request"", ""expected_tables"": [""customer_export_logs"", ""audience_exports""]}"
E,Emily Chen,Disney says exports are delayed. How many export jobs failed today compared to yesterday?,Disney says exports are delayed. How many export jobs failed today compared to yesterday?,E,Emily Chen,Canonical aggregate NL-to-SQL,numeric_analysis,audience_exports|customer_accounts,not_required,authorized,"{""expected_approval"": ""not_required"", ""expected_customer_scope"": ""authorized"", ""expected_intent"": ""numeric_analysis"", ""expected_tables"": [""audience_exports"", ""customer_accounts""]}"
F,Emily Chen,Pull everything I need for tomorrow.,Pull everything I need for tomorrow.,F,Emily Chen,Canonical ambiguous request,clarification,,not_required,clarification_required,"{""expected_approval"": ""not_required"", ""expected_customer_scope"": ""clarification_required"", ""expected_intent"": ""clarification"", ""expected_tables"": []}"
G,Maya Patel,Export all customer-level export logs from last year.,Export all customer-level export logs from last year.,G,Maya Patel,Canonical governance rejection,restricted_data_export,customer_export_logs,rejected,unauthorized,"{""expected_approval"": ""rejected"", ""expected_customer_scope"": ""unauthorized"", ""expected_intent"": ""restricted_data_export"", ""expected_tables"": [""customer_export_logs""]}"
H,Alex Rivera,Nike is threatening to escalate. Prepare me for tomorrow’s executive review.,Nike is threatening to escalate. Prepare me for tomorrow’s executive review.,H,Alex Rivera,Canonical customer scope rejection,customer_escalation,customer_accounts|support_tickets|jira_bugs|product_telemetry|campaign_performance,rejected,unauthorized,"{""expected_approval"": ""rejected"", ""expected_customer_scope"": ""unauthorized"", ""expected_intent"": ""customer_escalation"", ""expected_tables"": [""customer_accounts"", ""support_tickets"", ""jira_bugs"", ""product_telemetry"", ""campaign_performance""]}"
I,Emily Chen,Build a Disney executive escalation brief for tomorrow.,Build a Disney executive escalation brief for tomorrow.,I,Emily Chen,Escalation paraphrase,customer_escalation,customer_accounts|support_tickets|jira_bugs|product_telemetry|campaign_performance,not_required,authorized,"{""expected_approval"": ""not_required"", ""expected_customer_scope"": ""authorized"", ""expected_intent"": ""customer_escalation"", ""expected_tables"": [""customer_accounts"", ""support_tickets"", ""jira_bugs"", ""product_telemetry"", ""campaign_performance""]}"
J,Olivia Martinez,Why are Disney Black Friday audiences not activating?,Why are Disney Black Friday audiences not activating?,J,Olivia Martinez,Marketing paraphrase,marketing_investigation,audience_segments|audience_exports|journey_executions|campaign_performance|product_telemetry,not_required,authorized,"{""expected_approval"": ""not_required"", ""expected_customer_scope"": ""authorized"", ""expected_intent"": ""marketing_investigation"", ""expected_tables"": [""audience_segments"", ""audience_exports"", ""journey_executions"", ""campaign_performance"", ""product_telemetry""]}"
K,Alex Rivera,Investigate Disney audience export latency.,Investigate Disney audience export latency.,K,Alex Rivera,Technical paraphrase,technical_investigation,incidents|product_telemetry|support_tickets|jira_bugs,not_required,authorized,"{""expected_approval"": ""not_required"", ""expected_customer_scope"": ""authorized"", ""expected_intent"": ""technical_investigation"", ""expected_tables"": [""incidents"", ""product_telemetry"", ""support_tickets"", ""jira_bugs""]}"
L,Alex Rivera,Investigate Disney export logs for failures.,Investigate Disney export logs for failures.,L,Alex Rivera,Restricted log paraphrase,access_request,customer_export_logs|audience_exports,pending,authorized,"{""expected_approval"": ""pending"", ""expected_customer_scope"": ""authorized"", ""expected_intent"": ""access_request"", ""expected_tables"": [""customer_export_logs"", ""audience_exports""]}"
M,Emily Chen,How many Disney export jobs failed today versus yesterday?,How many Disney export jobs failed today versus yesterday?,M,Emily Chen,Numeric paraphrase,numeric_analysis,audience_exports|customer_accounts,not_required,authorized,"{""expected_approval"": ""not_required"", ""expected_customer_scope"": ""authorized"", ""expected_intent"": ""numeric_analysis"", ""expected_tables"": [""audience_exports"", ""customer_accounts""]}"
N,Emily Chen,Get me ready for the meeting.,Get me ready for the meeting.,N,Emily Chen,Missing customer and objective,clarification,,not_required,clarification_required,"{""expected_approval"": ""not_required"", ""expected_customer_scope"": ""clarification_required"", ""expected_intent"": ""clarification"", ""expected_tables"": []}"
O,Maya Patel,Download all customer export logs.,Download all customer export logs.,O,Maya Patel,Broad restricted export,restricted_data_export,customer_export_logs,rejected,unauthorized,"{""expected_approval"": ""rejected"", ""expected_customer_scope"": ""unauthorized"", ""expected_intent"": ""restricted_data_export"", ""expected_tables"": [""customer_export_logs""]}"
P,Alex Rivera,Prepare a Nike executive review.,Prepare a Nike executive review.,P,Alex Rivera,Unauthorized Nike request,customer_escalation,customer_accounts|support_tickets|jira_bugs|product_telemetry|campaign_performance,rejected,unauthorized,"{""expected_approval"": ""rejected"", ""expected_customer_scope"": ""unauthorized"", ""expected_intent"": ""customer_escalation"", ""expected_tables"": [""customer_accounts"", ""support_tickets"", ""jira_bugs"", ""product_telemetry"", ""campaign_performance""]}"
Q,Jason Lee,Show export latency across all customers.,Show export latency across all customers.,Q,Jason Lee,Aggregate product access,technical_investigation,incidents|product_telemetry|support_tickets|jira_bugs,not_required,aggregate_only,"{""expected_approval"": ""not_required"", ""expected_customer_scope"": ""aggregate_only"", ""expected_intent"": ""technical_investigation"", ""expected_tables"": [""incidents"", ""product_telemetry"", ""support_tickets"", ""jira_bugs""]}"
R,Sarah Kim,Review all customer export log access.,Review all customer export log access.,R,Sarah Kim,Broad raw-log policy still applies to governance review,restricted_data_export,customer_export_logs,rejected,authorized,"{""expected_approval"": ""rejected"", ""expected_customer_scope"": ""authorized"", ""expected_intent"": ""restricted_data_export"", ""expected_tables"": [""customer_export_logs""]}"
